cell,V_kV,Wsyn_MeV,Wout_pred_MeV,Wout_transoptr_MeV,dW_pred_MeV,dW_transoptr_MeV,Sig0T_deg,Sig0L_deg,A01,A10,Phi_deg,a_cm,m,B,L_cm,Z_cm,k_cm_inv,status
46,55.2,0.24217910851013952,0.25238927609314993,0.25238927609314993,0.010210167583010394,0.01021016758301041,357.61919931915304,31.95335284913055,5.7786059509048355,0.1946193690159386,-71.87919463087249,0.3697986577181208,1.2416107382550337,3.302013422818792,2.10189283699029,57.81394264895105,1.494649298147975,mock_ok
47,55.2,0.25238927609314993,0.262809990531551,0.262809990531551,0.010420714438401094,0.01042071443840109,356.7649723301794,32.28113139033558,5.769316289293384,0.19909550218879665,-71.47651006711409,0.3691275167785235,1.246979865771812,3.3087248322147653,2.1457253778453733,59.95966802679642,1.4641168371436322,mock_ok
48,55.2,0.262809990531551,0.27343778200026186,0.27343778200026186,0.01062779146871084,0.010627791468710845,355.9192403131198,32.60029366234427,5.760102537816242,0.20353617231166105,-71.0738255033557,0.3684563758389262,1.2523489932885905,3.315436241610738,2.189555750183277,62.149223776979696,1.434808249722267,mock_ok
49,55.2,0.27343778200026186,0.28426917426428966,0.28426917426428966,0.010831392264027812,0.010831392264027795,355.0819012610283,32.91108060217381,5.750965528470326,0.20794163861479076,-70.67114093959731,0.36778523489932885,1.2577181208053692,3.3221476510067114,2.233369831764053,64.38259360874375,1.4066602892671698,mock_ok
50,55.2,0.28426917426428966,0.2953006871722728,0.2953006871722728,0.01103151290798318,0.011031512907983154,354.2528549361311,33.213721423506854,5.741906013832016,0.21231219773001225,-70.26845637583892,0.36711409395973155,1.2630872483221478,3.3288590604026846,2.2771545615724587,66.6597481703162,1.3796132711432676,mock_ok
51,55.2,0.2953006871722728,0.30652883868704384,0.30652883868704384,0.011228151514771006,0.011228151514771023,353.432002832723,33.50843403498738,5.73292467525675,0.21664817535321154,-69.86577181208054,0.36644295302013424,1.2684563758389262,3.335570469798658,2.3208978482738902,68.9806460185901,1.353610912227901,mock_ok
52,55.2,0.30652883868704384,0.3179501465300148,0.3179501465300148,0.011421307842970959,0.011421307842970962,352.61924814100325,33.79542549365366,5.72402213023199,0.220949919290756,-69.46308724832215,0.36577181208053694,1.2738255033557047,3.3422818791946307,2.36458848657925,71.34523450516934,1.3286001650691457,mock_ok
53,55.2,0.3179501465300148,0.3295611295045533,0.3295611295045533,0.011610982974538504,0.011610982974538497,351.8144957118266,34.074892478977105,5.715198938959253,0.22521779368110595,-69.06040268456375,0.3651006711409396,1.2791946308724833,3.348993288590604,2.408216080909993,73.75345058607934,1.3045310503875878,mock_ok
54,55.2,0.3295611295045533,0.3413583085535174,0.3413583085535174,0.0117971790489641,0.011797179048964102,351.01765202234066,34.34702177622406,5.706455610237477,0.22945217421214198,-68.65771812080537,0.3644295302013423,1.2845637583892617,3.3557046979865772,2.451770975815711,76.20522156189504,1.2813564907075288,mock_ok
55,55.2,0.3413583085535174,0.35333820759752615,0.35333820759752615,0.011979899044008776,0.011979899044008757,350.2286251424842,34.61199076044135,5.697792606716705,0.23365344417984202,-68.25503355704699,0.363758389261745,1.2899328859060404,3.3624161073825505,2.495244192603776,78.70046575449882,1.2590321471950028,mock_ok
